latitude,longitude,ano_flate,ano_punkt,hovedtype,kartleggin,sp,file,temperature_WQ,precipitation_Annual,road_distance,name
64.41985560603452,12.268790723257743,ANO1251,ANO1251_26,Fjellhei leside og tundra,T3-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.579766273498535,1199.650390625,412.3105773925781,1251_26_T3-C-1_vm_12_1200_412
64.41979385968997,12.26547341265,ANO1251,ANO1251_24,Ãpen jordvannsmyr,V1-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.523066520690918,1200.1141357421875,223.60679626464844,1251_24_V1-C-5_vm_12_1200_224
64.41904589684327,12.263886261334887,ANO1251,ANO1251_13,Fjellhei leside og tundra,T3-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.459083557128906,1198.568603515625,223.60679626464844,1251_13_T3-C-1_vm_11_1199_224
64.41898404018454,12.260569062111147,ANO1251,ANO1251_11,Fjellhei leside og tundra,T3-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.43826675415039,1198.8271484375,141.42135620117188,1251_11_T3-C-2_vm_11_1199_141
64.41973203848269,12.262156118681279,ANO1251,ANO1251_22,Fjellhei leside og tundra,T3-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.475500106811523,1200.656005859375,100,1251_22_T3-C-1_vm_11_1201_100
64.42048001993165,12.263743261671872,ANO1251,ANO1251_33,Fjellhei leside og tundra,T3-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.494983673095703,1200.4344482421875,141.42135620117188,1251_33_T3-C-1_vm_11_1200_141
64.4204181593135,12.260425889607212,ANO1251,ANO1251_31,Fjellhei leside og tundra,T3-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.475500106811523,1200.656005859375,100,1251_31_T3-C-1_vm_11_1201_100
64.39783111941078,12.291735716952225,ANO1427,ANO1427_26,Fjellhei leside og tundra,T3-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.870200157165527,1164.05224609375,707.1068115234375,1427_26_T3-C-2_vm_12_1164_707
64.39708344076128,12.290149099503038,ANO1427,ANO1427_15,Fjellhei leside og tundra,T3-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.737099647521973,1162.5888671875,824.62115478515625,1427_15_T3-C-2_vm_12_1163_825
64.39702218812525,12.286834478390356,ANO1427,ANO1427_13,Ãpen jordvannsmyr,V1-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.537300109863281,1161.9111328125,894.42718505859375,1427_13_V1-C-5_vm_12_1162_894
